time_sch,time_act,code,dest,stat,orig
20:25,22:23,EZY 3301 easyJet,Amsterdam,BAGGAGE HANDLED,Edinburgh (EDI)
20:25,21:26,KL 888 KLM,Amsterdam,BAGGAGE HANDLED,Hong Kong (HKG)
20:25,21:22,VY 8312 Vueling,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN)
20:30,21:08,BA 2546 British Airways,Amsterdam,BAGGAGE HANDLED,London Gatwick (LGW)
20:30,21:20,EZS 1517 easyJet Switzerland,Amsterdam,BAGGAGE HANDLED,Geneva (GVA)
20:35,21:40,BA 442 British Airways,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
20:35,21:16,EZY 2521 easyJet,Amsterdam,BAGGAGE HANDLED,London Luton (LTN)
20:35,21:07,KL 1774 KLM,Amsterdam,BAGGAGE HANDLED,Frankfurt (FRA)
20:40,21:33,EJU 4073 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Venice (VCE)
20:50,21:25,EZY 2923 easyJet,Amsterdam,BAGGAGE HANDLED,Bristol (BRS)
20:50,21:35,EZY 8685 easyJet,Amsterdam,BAGGAGE HANDLED,London Gatwick (LGW)
20:50,20:50,KL 1964 KLM,Amsterdam,CANCELLED,Zurich (ZRH)
20:55,22:00,EZY 3445 easyJet,Amsterdam,BAGGAGE HANDLED,Liverpool (LPL)
20:55,21:23,KL 1150 KLM,Amsterdam,BAGGAGE HANDLED,Oslo (OSL)
21:00,21:37,BA 8457 British Airways,Amsterdam,BAGGAGE HANDLED,London City (LCY)
21:00,21:00,EZY 2167 easyJet,Amsterdam,CANCELLED,Manchester (MAN)
21:00,21:47,VY 8304 Vueling,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN)
21:05,22:11,KL 1024 KLM,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
21:05,21:05,SK 553 Scandinavian Airlines,Amsterdam,CANCELLED,Copenhagen (CPH)
21:10,22:45,EJU 7806 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Milan Linate (LIN)
21:10,21:29,FR 5298 Ryanair,Amsterdam,BAGGAGE HANDLED,Dublin (DUB)
21:10,21:10,KL 992 KLM,Amsterdam,CANCELLED,London City (LCY)
21:10,21:32,KL 1934 KLM,Amsterdam,BAGGAGE HANDLED,Geneva (GVA)
21:10,21:43,TK 1955 Turkish Airlines,Amsterdam,BAGGAGE HANDLED,Istanbul Airport (IST)
21:15,22:13,PC 1255 Pegasus Airlines,Amsterdam,BAGGAGE HANDLED,Istanbul Sabiha (SAW)
21:20,21:20,KL 1634 KLM,Amsterdam,CANCELLED,Milan Malpensa (MXP)
21:20,21:20,KL 1998 KLM,Amsterdam,CANCELLED,Krakow (KRK)
21:25,22:25,OR 1632 TUI fly,Amsterdam,BAGGAGE HANDLED,Las Palmas de Gran Canaria (LPA)
21:30,21:49,CD 512 Corendon Dutch Airlines,Amsterdam,BAGGAGE HANDLED,Banjul (BJL)
21:35,21:57,VY 8436 Vueling,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS)
21:40,21:52,HV 6146 Transavia,Amsterdam,BAGGAGE HANDLED,Alicante (ALC)
21:45,21:58,KL 1368 KLM,Amsterdam,BAGGAGE HANDLED,Warsaw (WAW)
21:45,22:21,KL 1800 KLM,Amsterdam,BAGGAGE HANDLED,Munich (MUC)
21:50,22:02,KL 1246 KLM,Amsterdam,BAGGAGE HANDLED,Paris de Gaulle (CDG)
21:55,22:18,VY 8311 Vueling,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN)
22:00,22:00,BA 444 British Airways,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
22:00,22:00,EJU 7808 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Milan Bergamo (BGY)
22:00,22:00,EJU 7864 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Basel (BSL)
22:05,22:38,HV 6868 Transavia,Amsterdam,BAGGAGE HANDLED,Athens (ATH)
22:05,22:30,LH 1002 Lufthansa,Amsterdam,BAGGAGE HANDLED,Frankfurt (FRA)
22:10,22:10,EJU 7832 easyJet Europe,Amsterdam,BAGGAGE HANDLED,London Luton (LTN)
22:10,22:10,EJU 7926 easyJet Europe,Amsterdam,CANCELLED,Prague (PRG)
22:10,23:25,EJU 7938 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Copenhagen (CPH)
22:15,23:17,EJU 7962 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS)
22:15,22:32,KL 998 KLM,Amsterdam,BAGGAGE HANDLED,London City (LCY)
22:15,22:15,KL 1676 KLM,Amsterdam,CANCELLED,Barcelona (BCN)
22:15,23:01,OS 377 Austrian Airlines,Amsterdam,BAGGAGE HANDLED,Vienna (VIE)
22:20,22:45,EJU 7846 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Birmingham (BHX)
22:20,22:57,EJU 8675 easyJet Europe,Amsterdam,BAGGAGE HANDLED,London Gatwick (LGW)
22:20,22:20,TP 674 TAP Air Portugal,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS)
22:25,22:36,LX 736 Swiss International Airlines,Amsterdam,BAGGAGE HANDLED,Zurich (ZRH)
22:30,23:07,LO 269 LOT Polish Airlines,Amsterdam,BAGGAGE HANDLED,Warsaw (WAW)
22:35,22:35,KL 1032 KLM,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
22:35,22:35,LH 2310 Lufthansa,Amsterdam,CANCELLED,Munich (MUC)
22:40,22:40,AZ 118 ITA Airways,Amsterdam,BAGGAGE HANDLED,Milan Linate (LIN)
23:00,23:00,KL 980 KLM,Amsterdam,BAGGAGE HANDLED,London City (LCY)
23:00,23:14,KL 1118 KLM,Amsterdam,BAGGAGE HANDLED,Stockholm (ARN)
23:00,23:33,KL 1434 KLM,Amsterdam,BAGGAGE HANDLED,Birmingham (BHX)
23:00,23:00,KL 1706 KLM,Amsterdam,CANCELLED,Madrid (MAD)
23:20,23:58,KL 1082 KLM,Amsterdam,BAGGAGE HANDLED,Manchester (MAN)
23:20,23:20,KL 1834 KLM,Amsterdam,BAGGAGE HANDLED,Berlin Brandenburg (BER)
23:25,23:25,HV 5754 Transavia,Amsterdam,BAGGAGE HANDLED,Marrakech (RAK)
23:25,23:25,KL 1608 KLM,Amsterdam,BAGGAGE HANDLED,Rome (FCO)
23:25,23:25,OR 3701 TUI fly,Amsterdam,BAGGAGE HANDLED,Boavista Island (BVC)
00:00,00:00,HV 6728 Transavia,Amsterdam,BAGGAGE HANDLED,Sevilla (SVQ)
16:45,11:59,KL 1920 KLM,Amsterdam,BAGGAGE HANDLED,Gdansk (GDN)
18:00,01:09,CD 592 Corendon Dutch Airlines,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS)
23:05,00:13,KL 1136 KLM,Amsterdam,BAGGAGE HANDLED,Copenhagen (CPH)
23:40,02:31,HV 5820 Transavia,Amsterdam,BAGGAGE HANDLED,Bari (BRI)
23:40,00:03,HV 5952 Transavia,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS)
23:40,00:00,HV 6902 Transavia,Amsterdam,BAGGAGE HANDLED,Dubai International (DXB)
23:55,00:47,HV 6332 Transavia,Amsterdam,BAGGAGE HANDLED,Valencia (VLC)
00:05,00:42,HV 6110 Transavia,Amsterdam,BAGGAGE HANDLED,Malaga (AGP)
00:10,00:37,HV 6872 Transavia,Amsterdam,BAGGAGE HANDLED,Heraklion (HER)
00:20,00:20,HV 5662 Transavia,Amsterdam,BAGGAGE HANDLED,Las Palmas de Gran Canaria (LPA)
00:20,00:35,HV 6864 Transavia,Amsterdam,BAGGAGE HANDLED,Athens (ATH)
00:25,00:25,HV 5136 Transavia,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN)
00:35,01:56,HV 5686 Transavia,Amsterdam,BAGGAGE HANDLED,Arrecife (ACE)
00:35,00:56,HV 6674 Transavia,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS)
00:45,00:45,HV 5674 Transavia,Amsterdam,BAGGAGE HANDLED,Ibiza (IBZ)
00:50,01:07,HV 5628 Transavia,Amsterdam,BAGGAGE HANDLED,Palma (PMI)
01:25,01:54,HV 194 Transavia,Amsterdam,BAGGAGE HANDLED,Marsa Alam (RMF)
